temperature_K,pressure_bar,ignition_delay_s,equivalence_ratio,composition,source_file,ignition_target,ignition_type,simulated_delay_s,simulated_to_experiment_ratio,ignited
841.09,13.5,0.0033399999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.005833025351914052,1.7464147760221715,True
830.34,13.5,0.0031539999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.005374340581512093,1.7039760879873473,True
784.31,13.5,0.002888,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.004165559433666575,1.4423682249538001,True
746.81,13.5,0.0032749999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.00442605561705511,1.3514673639862933,True
737.8,13.5,0.003093,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.004722327008822875,1.5267788583326463,True
731.23,13.5,0.003022,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.005016554351474423,1.6600113671325025,True
699.42,13.5,0.004804,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.007853202693437372,1.6347216264440823,True
698.67,13.5,0.0040479999999999995,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.007960333885294366,1.966485643600387,True
695.45,13.5,0.00524,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.008449706839710946,1.6125394732272798,True
676.9,13.5,0.011264999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.012456590001613877,1.1057780738228034,True
664.19,13.5,0.013068,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.016923272685360584,1.2950162752801182,True
999.45,19.3,0.0013109999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-5.yaml,pressure,d/dt max,0.0028753467456643653,2.193246945586854,True
