case_id,hypothesis,case,mechanism,mechanism_path,temperature_K,pressure_bar,equivalence_ratio,egr_fraction,fuel,oxidizer,status,delay_s,delay_ms,peak_dPdt_Pa_s,final_temperature_K,final_pressure_bar,error_type,error,ignition_criterion
zhao_sk39:pure_dme:phi0.40,reference,pure_dme,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,945,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0008188892303429516,0.8188892303429516,375648454208.90326,1945.4884560814196,85.64742487344546,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme:phi0.40,reference,pure_dme,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,955,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0008407661384148046,0.8407661384148046,388725590478.702,1955.3868545573341,85.17738249524197,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme:phi0.40,reference,pure_dme,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,965,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.000861637531983256,0.861637531983256,402007531726.86584,1965.2626384781897,84.71622555779699,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme:phi0.40,reference,pure_dme,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,975,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0008793498777617275,0.8793498777617276,415501479578.6519,1975.1000168207063,84.26308558688174,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_air:phi0.40,dilution,pure_dme_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,875,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0006806299438901409,0.680629943890141,288205893235.00256,1875.281193580275,89.19786809961272,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_air:phi0.40,dilution,pure_dme_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,885,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0006986439730146285,0.6986439730146284,300860370708.19824,1885.2630676934832,88.65468948303474,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_air:phi0.40,dilution,pure_dme_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,895,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0007174678837025541,0.7174678837025541,313240614950.2073,1895.6499202842972,88.1403460446521,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_air:phi0.40,dilution,pure_dme_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,905,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0007367216112970048,0.7367216112970049,325379193509.08435,1905.49176894585,87.61468362664755,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_air:phi0.40,dilution,pure_dme_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,915,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.000756322806063601,0.756322806063601,337647509843.54364,1916.0536005707338,87.12977297240982,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_air:phi0.40,dilution,pure_dme_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,925,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0007764390420233181,0.776439042023318,350113730503.0508,1925.156254004278,86.59641860997651,,,accepted-step maximum dP/dt after qualifying +400 K rise
