assumption_label,bore_mm,bore_tolerance_diameter_um,cold_interference_fraction,counts,cte_relative_half_range,fractions,liner_material,liner_temperature_center_K,nominal_cold_clearance_um,piston_material,piston_temperature_center_K,piston_tolerance_diameter_um,samples,seed,temperature_error_half_range_K
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3323, ""sub_1_um"": 304, ""1_to_3_um"": 342, ""3_to_5_um"": 31, ""ge_5_um"": 0}",0.05,"{""interference"": 0.83075, ""sub_1_um"": 0.076, ""1_to_3_um"": 0.0855, ""3_to_5_um"": 0.00775, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,5.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 2035, ""sub_1_um"": 927, ""1_to_3_um"": 968, ""3_to_5_um"": 70, ""ge_5_um"": 0}",0.05,"{""interference"": 0.50875, ""sub_1_um"": 0.23175, ""1_to_3_um"": 0.242, ""3_to_5_um"": 0.0175, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,8.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 2060, ""sub_1_um"": 454, ""1_to_3_um"": 830, ""3_to_5_um"": 495, ""ge_5_um"": 161}",0.05,"{""interference"": 0.515, ""sub_1_um"": 0.1135, ""1_to_3_um"": 0.2075, ""3_to_5_um"": 0.12375, ""ge_5_um"": 0.04025}",gray_iron_gjl250,400.0,8.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 502, ""sub_1_um"": 724, ""1_to_3_um"": 1693, ""3_to_5_um"": 1001, ""ge_5_um"": 80}",0.05,"{""interference"": 0.1255, ""sub_1_um"": 0.181, ""1_to_3_um"": 0.42325, ""3_to_5_um"": 0.25025, ""ge_5_um"": 0.02}",gray_iron_gjl250,400.0,10.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 1094, ""sub_1_um"": 434, ""1_to_3_um"": 935, ""3_to_5_um"": 857, ""ge_5_um"": 680}",0.05,"{""interference"": 0.2735, ""sub_1_um"": 0.1085, ""1_to_3_um"": 0.23375, ""3_to_5_um"": 0.21425, ""ge_5_um"": 0.17}",gray_iron_gjl250,400.0,10.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 4000, ""sub_1_um"": 0, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 1.0, ""sub_1_um"": 0.0, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,2.0,al_2618_t61,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3999, ""sub_1_um"": 1, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 0.99975, ""sub_1_um"": 0.00025, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,2.0,al_2618_t61,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 4000, ""sub_1_um"": 0, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 1.0, ""sub_1_um"": 0.0, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,3.0,al_2618_t61,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3977, ""sub_1_um"": 23, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 0.99425, ""sub_1_um"": 0.00575, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,3.0,al_2618_t61,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 4000, ""sub_1_um"": 0, ""1_to_3_um"": 0, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 1.0, ""sub_1_um"": 0.0, ""1_to_3_um"": 0.0, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,5.0,al_2618_t61,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3736, ""sub_1_um"": 174, ""1_to_3_um"": 88, ""3_to_5_um"": 2, ""ge_5_um"": 0}",0.05,"{""interference"": 0.934, ""sub_1_um"": 0.0435, ""1_to_3_um"": 0.022, ""3_to_5_um"": 0.0005, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,5.0,al_2618_t61,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3481, ""sub_1_um"": 400, ""1_to_3_um"": 119, ""3_to_5_um"": 0, ""ge_5_um"": 0}",0.05,"{""interference"": 0.87025, ""sub_1_um"": 0.1, ""1_to_3_um"": 0.02975, ""3_to_5_um"": 0.0, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,8.0,al_2618_t61,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 2834, ""sub_1_um"": 343, ""1_to_3_um"": 566, ""3_to_5_um"": 232, ""ge_5_um"": 25}",0.05,"{""interference"": 0.7085, ""sub_1_um"": 0.08575, ""1_to_3_um"": 0.1415, ""3_to_5_um"": 0.058, ""ge_5_um"": 0.00625}",gray_iron_gjl250,400.0,8.0,al_2618_t61,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 2020, ""sub_1_um"": 748, ""1_to_3_um"": 1095, ""3_to_5_um"": 137, ""ge_5_um"": 0}",0.05,"{""interference"": 0.505, ""sub_1_um"": 0.187, ""1_to_3_um"": 0.27375, ""3_to_5_um"": 0.03425, ""ge_5_um"": 0.0}",gray_iron_gjl250,400.0,10.0,al_2618_t61,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 2005, ""sub_1_um"": 403, ""1_to_3_um"": 751, ""3_to_5_um"": 568, ""ge_5_um"": 273}",0.05,"{""interference"": 0.50125, ""sub_1_um"": 0.10075, ""1_to_3_um"": 0.18775, ""3_to_5_um"": 0.142, ""ge_5_um"": 0.06825}",gray_iron_gjl250,400.0,10.0,al_2618_t61,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 2301, ""sub_1_um"": 634, ""1_to_3_um"": 859, ""3_to_5_um"": 200, ""ge_5_um"": 6}",0.05,"{""interference"": 0.57525, ""sub_1_um"": 0.1585, ""1_to_3_um"": 0.21475, ""3_to_5_um"": 0.05, ""ge_5_um"": 0.0015}",al_6061_t6,400.0,2.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 2184, ""sub_1_um"": 318, ""1_to_3_um"": 629, ""3_to_5_um"": 457, ""ge_5_um"": 412}",0.05,"{""interference"": 0.546, ""sub_1_um"": 0.0795, ""1_to_3_um"": 0.15725, ""3_to_5_um"": 0.11425, ""ge_5_um"": 0.103}",al_6061_t6,400.0,2.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 1619, ""sub_1_um"": 644, ""1_to_3_um"": 1141, ""3_to_5_um"": 545, ""ge_5_um"": 51}",0.05,"{""interference"": 0.40475, ""sub_1_um"": 0.161, ""1_to_3_um"": 0.28525, ""3_to_5_um"": 0.13625, ""ge_5_um"": 0.01275}",al_6061_t6,400.0,3.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 1781, ""sub_1_um"": 352, ""1_to_3_um"": 681, ""3_to_5_um"": 547, ""ge_5_um"": 639}",0.05,"{""interference"": 0.44525, ""sub_1_um"": 0.088, ""1_to_3_um"": 0.17025, ""3_to_5_um"": 0.13675, ""ge_5_um"": 0.15975}",al_6061_t6,400.0,3.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 534, ""sub_1_um"": 496, ""1_to_3_um"": 1241, ""3_to_5_um"": 1161, ""ge_5_um"": 568}",0.05,"{""interference"": 0.1335, ""sub_1_um"": 0.124, ""1_to_3_um"": 0.31025, ""3_to_5_um"": 0.29025, ""ge_5_um"": 0.142}",al_6061_t6,400.0,5.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 1125, ""sub_1_um"": 297, ""1_to_3_um"": 734, ""3_to_5_um"": 684, ""ge_5_um"": 1160}",0.05,"{""interference"": 0.28125, ""sub_1_um"": 0.07425, ""1_to_3_um"": 0.1835, ""3_to_5_um"": 0.171, ""ge_5_um"": 0.29}",al_6061_t6,400.0,5.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 2, ""sub_1_um"": 37, ""1_to_3_um"": 471, ""3_to_5_um"": 1123, ""ge_5_um"": 2367}",0.05,"{""interference"": 0.0005, ""sub_1_um"": 0.00925, ""1_to_3_um"": 0.11775, ""3_to_5_um"": 0.28075, ""ge_5_um"": 0.59175}",al_6061_t6,400.0,8.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 389, ""sub_1_um"": 194, ""1_to_3_um"": 496, ""3_to_5_um"": 705, ""ge_5_um"": 2216}",0.05,"{""interference"": 0.09725, ""sub_1_um"": 0.0485, ""1_to_3_um"": 0.124, ""3_to_5_um"": 0.17625, ""ge_5_um"": 0.554}",al_6061_t6,400.0,8.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 0, ""sub_1_um"": 0, ""1_to_3_um"": 43, ""3_to_5_um"": 470, ""ge_5_um"": 3487}",0.05,"{""interference"": 0.0, ""sub_1_um"": 0.0, ""1_to_3_um"": 0.01075, ""3_to_5_um"": 0.1175, ""ge_5_um"": 0.87175}",al_6061_t6,400.0,10.0,al_4032_t6,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 111, ""sub_1_um"": 124, ""1_to_3_um"": 381, ""3_to_5_um"": 499, ""ge_5_um"": 2885}",0.05,"{""interference"": 0.02775, ""sub_1_um"": 0.031, ""1_to_3_um"": 0.09525, ""3_to_5_um"": 0.12475, ""ge_5_um"": 0.72125}",al_6061_t6,400.0,10.0,al_4032_t6,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 3013, ""sub_1_um"": 711, ""1_to_3_um"": 275, ""3_to_5_um"": 1, ""ge_5_um"": 0}",0.05,"{""interference"": 0.75325, ""sub_1_um"": 0.17775, ""1_to_3_um"": 0.06875, ""3_to_5_um"": 0.00025, ""ge_5_um"": 0.0}",steel_4140,400.0,2.0,steel_4140,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 2555, ""sub_1_um"": 534, ""1_to_3_um"": 687, ""3_to_5_um"": 216, ""ge_5_um"": 8}",0.05,"{""interference"": 0.63875, ""sub_1_um"": 0.1335, ""1_to_3_um"": 0.17175, ""3_to_5_um"": 0.054, ""ge_5_um"": 0.002}",steel_4140,400.0,2.0,steel_4140,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 1952, ""sub_1_um"": 1056, ""1_to_3_um"": 955, ""3_to_5_um"": 37, ""ge_5_um"": 0}",0.05,"{""interference"": 0.488, ""sub_1_um"": 0.264, ""1_to_3_um"": 0.23875, ""3_to_5_um"": 0.00925, ""ge_5_um"": 0.0}",steel_4140,400.0,3.0,steel_4140,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 1955, ""sub_1_um"": 615, ""1_to_3_um"": 944, ""3_to_5_um"": 413, ""ge_5_um"": 73}",0.05,"{""interference"": 0.48875, ""sub_1_um"": 0.15375, ""1_to_3_um"": 0.236, ""3_to_5_um"": 0.10325, ""ge_5_um"": 0.01825}",steel_4140,400.0,3.0,steel_4140,450.0,1.0,4000,20260902,50.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 263, ""sub_1_um"": 655, ""1_to_3_um"": 2161, ""3_to_5_um"": 900, ""ge_5_um"": 21}",0.05,"{""interference"": 0.06575, ""sub_1_um"": 0.16375, ""1_to_3_um"": 0.54025, ""3_to_5_um"": 0.225, ""ge_5_um"": 0.00525}",steel_4140,400.0,5.0,steel_4140,450.0,1.0,4000,20260902,25.0
engineering sensitivity distribution; not measured production statistics,8.5,1.0,0.0,"{""interference"": 822, ""sub_1_um"": 481, ""1_to_3_um"": 1227, ""3_to_5_um"": 954, ""ge_5_um"": 516}",0.05,"{""interference"": 0.2055, ""sub_1_um"": 0.12025, ""1_to_3_um"": 0.30675, ""3_to_5_um"": 0.2385, ""ge_5_um"": 0.129}",steel_4140,400.0,5.0,steel_4140,450.0,1.0,4000,20260902,50.0
