crank_angle_deg_atdc,time_s,core_mean,wall_shell_mean,delta_c,tracer_min,tracer_max,core_volume_mm3,wall_shell_volume_mm3,total_volume_mm3,python_volume_mm3,volume_error_percent,mass_mg,mass_error_percent,k_mix_1_s,tau_mix_ms
-102.3302039856,0.010787471668666667,0.07775991140468182,0.6246418306414383,0.5468819192367564,8.17968544501e-12,0.739386732477,273.1485918615801,56.59436021637691,329.742952077957,330.2075503840494,-0.1406988742540971,1.5865410473823294,-5.981672833721419e-05,38.093872934404395,26.250940714847932
-101.8930592058,0.010848186221416667,0.07797663999611094,0.6235951292673844,0.5456184892712734,9.1091308366e-12,0.738427849058,272.0074284137567,56.35791962266621,328.3653480364229,328.82800533841686,-0.14069887433030281,1.5865410473867145,-5.9816451936089976e-05,38.09724331371841,26.2486183518667
-101.4554553375,0.010908964536458333,0.07819311815975674,0.6225496197397838,0.5443565015800271,1.02378976823e-11,0.737464679225,270.86022956504684,56.12022853864776,326.98045810369456,327.44116413551524,-0.1406988742655435,1.5865410473831734,-5.981667513532685e-05,38.10322861825641,26.24449518487443
-101.0170954215,0.010969847858125,0.078409507407681,0.6215045259637625,0.5430950185560814,1.15889465425e-11,0.736496401505,269.70624803566966,55.881132133614564,325.5873801692842,326.0461233950652,-0.1406988744427129,1.586541047378343,-5.981697959178689e-05,38.11180893837501,26.23858661804672
-100.5811647193,0.01103039378898611,0.07862425593532704,0.6204673566923167,0.5418431007569896,1.25213382285e-11,0.735529938063,268.55394822891236,55.64238416897039,324.19633239788277,324.65311567690736,-0.14069887426528815,1.5865410473789519,-5.981694122247916e-05,38.122959400718514,26.230912177850303
-100.158916677,0.011089039350416666,0.0788318664595514,0.6194646961990969,0.5406328297395455,1.33514513228e-11,0.734590363023,267.4333842185962,55.41021162580386,322.8435958444,323.29847315661146,-0.14069887425391947,1.5865410473815582,-5.9816776942778205e-05,38.13674853819891,26.221427844022152
-99.7374385594,0.01114757797786111,0.07903871698838684,0.6184657107954683,0.5394269938070815,1.42150001501e-11,0.733648963186,266.3105628962524,55.177571384347495,321.4881342805999,321.9411017866435,-0.14069887427540229,1.5865410473808577,-5.9816821096347894e-05,38.15299171688658,26.210264385568436
-99.30421519812,0.011207747889149999,0.07925094164337616,0.617440735395369,0.5381897937519928,1.51272352673e-11,0.73267743543,265.15202550615726,54.93753103873825,320.0895565448955,320.5405534953053,-0.14069887428966865,1.5865410473791461,-5.98169289767192e-05,38.171948826072445,26.1972477369815
-98.85580015339,0.011270027756473611,0.07947020417794846,0.6163817205263076,0.5369115163483591,1.60956069283e-11,0.731667500646,263.9481925215286,54.68810578234432,318.63629830387293,319.0852476552794,-0.14069887426807481,1.5865410473823727,-5.9816725606065546e-05,38.19382450544059,26.182243149217832
-98.40640924351,0.011332443160623613,0.07968955676678685,0.615322267558799,0.5356327107920122,1.70983089746e-11,0.73065088337,262.7370340865093,54.4371627469436,317.17419683345287,317.62108612607165,-0.1406988742685078,1.586541047381263,-5.98167955501161e-05,38.21890996746801,26.16505810477592
-97.95767340657,0.011394767582420834,0.0799082201613621,0.6142661455703391,0.534357925408977,1.81494715439e-11,0.729631197074,261.5230022357456,54.185624361098085,315.7086265968437,316.15345094328205,-0.1406988742685411,1.5865410473850037,-5.981655977205236e-05,38.24686705527184,26.145932385909312
-97.50767340657,0.011457267582420832,0.08012714513455223,0.6132087632208021,0.5330816180862499,1.92826508159e-11,0.728603960725,260.30095785002806,53.932425837551094,314.23338368757913,314.6761294593093,-0.14069887426508831,1.5865410473906274,-5.9816205311147286e-05,38.277662985097436,26.12489692459354
-97.05767340657,0.011519767582420832,0.0803457315451721,0.6121530172803082,0.5318072857351361,2.05347548982e-11,0.727571943248,259.07437837099377,53.678287676375234,312.75266604736896,313.19332553059377,-0.14069887424269512,1.5865410473931962,-5.9816043396221374e-05,38.311446938990876,26.101859363141557
-96.60767340657,0.011582267582420832,0.08056399453401258,0.6110988246676036,0.530534830133591,2.19520674966e-11,0.726535046448,257.84332856126883,53.42322329582683,311.26655185709564,311.70511744843463,-0.14069887428510564,1.5865410473933286,-5.981603505844646e-05,38.34817420342983,26.076860783389286
-96.15767340657,0.011644767582420834,0.08078195008951837,0.6100461061634918,0.5292641560739734,2.35724030625e-11,0.725493177554,256.60787411443516,53.167246307312375,309.77512042174754,310.2115846291518,-0.14069887426222394,1.586541047395264,-5.9815913067140514e-05,38.38761870929333,26.050065974993863
-95.71277049464,0.011706559653522223,0.08099715433841713,0.6090066852746987,0.5280095309362816,2.54128472074e-11,0.724458163561,255.3821486523948,52.9132850920275,308.29543374442227,308.7298131161089,-0.14069887430124828,1.586541047390747,-5.981619776163072e-05,38.42991146843754,26.02139744249214
-95.2707791958,0.011767947333916666,0.08121068879806678,0.6079753418446824,0.5267646530466156,2.75113109433e-11,0.723424983652,254.16031053292724,52.660129305236865,306.8204398381641,307.25274098584356,-0.14069887425329775,1.5865410473906543,-5.981620361250606e-05,38.47526136821578,25.990726623785715
-94.82349781437,0.011830069748004168,0.08142652593432298,0.6069328640675717,0.5255063381332488,2.99368696209e-11,0.722374294549,252.91972001969518,52.40308816187064,305.32280818156573,305.75299920947566,-0.14069887426195749,1.5865410473889505,-5.981631100437923e-05,38.52362681805156,25.95809591664448
-94.37349781437,0.011892569748004168,0.0816434354856281,0.6058852011454503,0.5242417656598222,3.27059733316e-11,0.721311920315,251.6674666817656,52.143630567690444,303.811097249456,304.23915832022516,-0.1406988742450377,1.5865410473864598,-5.981646798991491e-05,38.57521170604713,25.923383327621192
-93.92349781437,0.011955069748004168,0.08186012124767662,0.6048386189965979,0.5229784977489212,3.58067395784e-11,0.720244197079,250.4111486154633,51.883330791998276,302.2944794074616,302.7204036074367,-0.14069887424154048,1.5865410473861075,-5.9816490205477635e-05,38.62989000917289,25.886690326132026
-93.47349781437,0.012017569748004166,0.08207659913479164,0.6037930415432192,0.5217164424084276,3.92058686597e-11,0.719171083296,249.15083704437066,51.622203591812834,300.7730406361835,301.19682117290716,-0.14069887426878536,1.5865410473848425,-5.981656993059303e-05,38.6875175640698,25.848130429767572
-93.02349781437,0.012080069748004166,0.08229288442842944,0.6027483951237561,0.5204555106953267,4.28276585561e-11,0.718092536613,247.88660411342147,51.360263914911215,299.2468680283327,299.66849823187175,-0.1406988742649995,1.5865410473837898,-5.9816636288623215e-05,38.74805613833696,25.80774623712309
-92.57349781437,0.012142569748004168,0.08250899247874875,0.601704607388298,0.5191956149095492,4.61937226609e-11,0.717008519529,246.61852288559407,51.097526899562105,297.71604978515614,298.135523109964,-0.14069887426771954,1.5865410473828776,-5.981669377597143e-05,38.811499145334196,25.765559744429947
