crank_angle_deg_atdc,time_s,core_mean,wall_shell_mean,delta_c,core_volume_mm3,wall_shell_volume_mm3,total_volume_mm3,python_volume_mm3,volume_error_percent,k_mix_1_s,tau_mix_ms
-18.24498331172,0.02246597454003889,0.1454020351596292,0.4740917991019704,0.3286897639423412,56.22851562713576,15.550820167587014,71.77933579472278,71.8804708079357,-0.14069887422294425,95.52946142175492,10.467974854218848
-17.79498331172,0.02252847454003889,0.14582667956939707,0.47255608824622425,0.3267294086768272,55.738349691957524,15.415257593587269,71.1536072855448,71.2538606652514,-0.14069887409693393,95.8870213929596,10.428940074192605
-17.34498331172,0.02259097454003889,0.14625033478598984,0.4710239793715423,0.32477364458555247,55.25978027718712,15.282902207291439,70.54268248447856,70.64207508877463,-0.14069887410750326,96.22882627500032,10.391896469174686
-16.89498331172,0.02265347454003889,0.14667291578590663,0.4694957683336711,0.3228228525477645,54.79285564123468,15.153767355263426,69.94662299649809,70.04517577015241,-0.14069887407766046,96.55449660040274,10.356845462501525
-16.44498331172,0.02271597454003889,0.1470943428555596,0.4679717527037133,0.32087740984815366,54.33762288343041,15.02786606351187,69.36548894694229,69.46322291950364,-0.14069887410003146,96.86375724878351,10.323778763109653
-15.99498331172,0.02277847454003889,0.14751453446594004,0.46645222588185886,0.3189376914159188,53.89412793826506,14.905211035875006,68.79933897414006,68.89627525773399,-0.1406988741137427,97.15630913441308,10.292692352243717
-15.54498331172,0.022840974540038892,0.14793340974612304,0.464937479064371,0.317004069318248,53.46241556939781,14.785814652427353,68.24823022182517,68.34439000905513,-0.1406988740659365,97.43185277565827,10.26358394623317
-15.09498331172,0.02290347454003889,0.14835088635554444,0.4634277993930884,0.315076913037544,53.042529363930726,14.669688967817956,67.71221833174869,67.80762289370749,-0.1406988740902504,97.6901715572236,10.236444302016952
-14.64498331172,0.022965974540038885,0.14876688908565833,0.461923474807412,0.3131565857217537,52.63451172707775,14.556845709818562,67.19135743689631,67.28602812088735,-0.14069887409755566,97.93117262454301,10.21125320161218
-14.19498331172,0.02302847454003889,0.14918133967140745,0.46042478264841574,0.3112434429770083,52.238403876601296,14.447296277813734,66.68570015441502,66.77965838187582,-0.14069887408452164,98.15497866363184,10.187970224382696
-13.74498331172,0.02309097454003889,0.1495941630496303,0.4589319888219092,0.3093378257722789,51.85424583765784,14.341051741332523,66.19529757899036,66.28856484337402,-0.14069887408789672,98.3616515977043,10.166563734512765
-13.29498331172,0.02315347454003889,0.15000528886575393,0.45744535899595357,0.30744007013019964,51.48207643775819,14.238122838703104,65.7201992764613,65.81279714103904,-0.14069887407961446,98.55091829052034,10.147038884529506
-12.84498331172,0.02321597454003889,0.15041464133096952,0.4559651518614845,0.30555051053051496,51.12193330182442,14.138519975662394,65.26045327748682,65.352403373225,-0.14069887409198234,98.72251604771512,10.129401478348408
