deg,P_bar,T_K,pistonVelocity_m_s
12.0,76.7560596093622,1057.2759302917661,0.11945541695350227
13.0,76.31509513926245,1067.1607418441483,0.12913924538616497
14.0,75.72355942227973,1075.953696607186,0.13875858743516137
15.0,74.98365703145613,1083.5476037889084,0.14830867631108657
16.0,74.09867351995976,1089.8385826834228,0.15778478835943666
17.0,73.07282631773015,1094.7258729481825,0.1671822461685878
18.0,71.91111427326351,1098.1116326403783,0.17649642168079943
19.0,70.61916992442987,1099.9007295642482,0.18572273930559471
20.0,69.20311788602035,1100.0005309645144,0.1948566790347027
21.0,67.66944201995962,1098.3206959892611,0.2038937795575773
22.0,66.02486334823861,1094.7729746800942,0.212829641376318
23.0,64.27623001057546,1089.2710165647827,0.2216599299186274
24.0,62.430419981003546,1081.7301912581333,0.2303803786472336
25.0,60.4942567534736,1072.0674228441023,0.23898679216399557
26.0,58.47443779192839,1060.2010392331915,0.24747504930668585
27.0,56.442466883700526,1047.2565190716155,0.25584110623621775
28.0,54.46727942809832,1034.429840134927,0.2640809995118459
29.0,52.55058443766436,1021.7346355226013,0.27219084915162517
30.0,50.6935567990782,1009.1831184716394,0.28016686167516525
31.0,48.8968949969097,996.7861531228291,0.28800533312545895
32.0,47.160876611338054,984.5533293442684,0.2957026520663073
33.0,45.485410953565946,972.4930399586643,0.3032553025515985
34.0,43.870088394869555,960.612558962697,0.3106598670624333
35.0,42.31422610883175,948.9181195547558,0.31791302940782623
36.0,40.81691008230236,937.4149909980096,0.32501157758444177
37.0,39.3770333608778,926.1075535367407,0.33195240659056685
38.0,37.99333058166278,914.9993707542533,0.3387325211892569
39.0,36.66440891249284,904.0932589102737,0.3453490386153416
40.0,35.38877556549909,893.3913529252976,0.3517991912207266
41.0,34.16486208663275,882.8951687898365,0.358080329052192
42.0,32.99104564413282,872.6056622694481,0.36418992235565906
43.0,31.865667550268945,862.5232838533905,0.37012556400068525
44.0,30.787049254112848,852.648029957402,0.3758849718187486
45.0,29.75350604040195,842.9794904411907,0.38146599084870025
46.0,28.763358662299826,833.5168925403308,0.38686659548260605
47.0,27.814943125322685,824.2591413419736,0.3920848915050608
48.0,26.906618826941802,815.2048569554785,0.39711911801894056
49.0,26.036775242247476,806.3524085440752,0.4019676492504774
50.0,25.203837331236784,797.6999453930995,0.40662899622648374
51.0,24.4062698282905,789.245425195239,0.411101808316524
52.0,23.6425805596229,780.9866397344529,0.415384874632846
53.0,22.911322920207986,772.9212381485486,0.41947712528092773
54.0,22.211097628106614,765.0467479464645,0.42337763245357657
55.0,21.54055386137317,757.3605939506684,0.4270856113616445
56.0,20.898389870880113,749.8601153281736,0.43060042099458695
57.0,20.283353151503984,742.5425808659164,0.43392156470429916
58.0,19.694240244164483,735.4052026378896,0.43704869060592133
59.0,19.129896232183174,728.4451482027825,0.4399815917895946
60.0,18.58921398729009,721.6595514621062,0.4427202063375018
61.0,18.07113321330897,715.0455223000573,0.44526461714090976
