bore_mm,candidate,cold_base_um,conditional_preheat_Tl_K_at_threshold,conditional_preheat_Tp_K_at_threshold,conditional_preheat_safe_intervals_K,conditional_preheat_threshold_K_liner_30K_hotter,conditional_preheat_type_liner_30K_hotter,fit_feasible,fit_lower_bound_um,fit_upper_bound_um,h_model,leakage_gas_temperature_K,leakage_pressure_bar,liner_taper_um,machining_error_um,nonnegative_fit_feasible,nonuniform_equivalent_clearance_um,nonuniform_leakage_status,nonuniform_mdot_mg_s,periodic_below_1um_margin_at_base,periodic_contact_at_base,periodic_min_hot_clearance_at_base_um,piston_barrel_um,piston_taper_um,worst_profile_deg,worst_station
8.5,piston_barrel_outward,10.0,648.63,618.63,"[[293.15, 618.63]]",618.63,maximum_safe,True,10.818379899169267,11.714903522688495,constant_h,842.9794904411907,29.75350604040195,0.0,0.0,True,1.6592147336135026,annulus_positive_clearance,0.5804995694947387,False,False,1.1792469332787547,2.0,0.0,45.0,ringland_or_mid_skirt
8.5,piston_barrel_outward,10.0,648.63,618.63,"[[293.15, 618.63]]",618.63,maximum_safe,True,9.818379899169267,10.714903522688495,constant_h,842.9794904411907,29.75350604040195,0.0,1.0,True,2.802554700326212,annulus_positive_clearance,2.7974118428219517,False,False,2.182146769350801,2.0,0.0,45.0,ringland_or_mid_skirt
8.5,piston_barrel_inward,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,True,9.898555709547681,10.79344827056644,constant_h,721.6595514621062,18.58921398729009,0.0,-1.0,True,2.7236209792462103,annulus_positive_clearance,1.1686831238255442,False,False,2.1017433938217422,-2.0,0.0,60.0,crown
8.5,piston_barrel_inward,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,True,8.898555709547681,9.79344827056644,constant_h,721.6595514621062,18.58921398729009,0.0,0.0,True,3.8349428479545513,annulus_positive_clearance,3.262371756492809,False,False,3.104691843334173,-2.0,0.0,60.0,crown
8.5,piston_barrel_inward,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,True,7.898555709547681,8.79344827056644,constant_h,721.6595514621062,18.58921398729009,0.0,1.0,True,4.906488181692105,annulus_positive_clearance,6.832333102495974,False,False,4.107640292847492,-2.0,0.0,60.0,crown
8.5,piston_skirt_larger,10.0,646.0871875,616.0871875,"[[293.15, 616.0871875]]",616.0871875,maximum_safe,False,11.752770280459465,10.864428337363751,constant_h,439.2409792105603,4.7971686965397735,0.0,-1.0,False,0.41283846446772554,annulus_positive_clearance,0.0004272077504434762,True,False,0.2422304771956263,0.0,2.0,-144.0,skirt_end
8.5,piston_skirt_larger,10.0,646.0871875,616.0871875,"[[293.15, 616.0871875]]",616.0871875,maximum_safe,False,10.752770280459465,9.864428337363751,constant_h,439.2409792105603,4.7971686965397735,0.0,0.0,False,1.9617601357741048,annulus_positive_clearance,0.04583913105776057,False,False,1.2450826720327157,0.0,2.0,-144.0,skirt_end
8.5,piston_skirt_larger,10.0,646.0871875,616.0871875,"[[293.15, 616.0871875]]",616.0871875,maximum_safe,False,9.752770280459465,8.864428337363751,constant_h,439.2409792105603,4.7971686965397735,0.0,1.0,False,3.2681140075948854,annulus_positive_clearance,0.21192893525396125,False,False,2.2479348668706933,0.0,2.0,-144.0,skirt_end
8.5,piston_crown_larger,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,False,11.898555709547681,10.714903522688495,constant_h,721.6595514621062,18.58921398729009,0.0,-1.0,False,0.16385601215916565,annulus_positive_clearance,0.0002544742854210312,True,False,0.09584649479421614,0.0,-2.0,60.0,crown
8.5,piston_crown_larger,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,False,10.898555709547681,9.714903522688495,constant_h,721.6595514621062,18.58921398729009,0.0,0.0,False,1.766858177270697,annulus_positive_clearance,0.31905226559640604,False,False,1.098794944307535,0.0,-2.0,60.0,crown
8.5,piston_crown_larger,10.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,False,9.898555709547681,8.714903522688495,constant_h,721.6595514621062,18.58921398729009,0.0,1.0,False,3.120852243983635,annulus_positive_clearance,1.7582328226376518,False,False,2.1017433938217422,0.0,-2.0,60.0,crown
8.5,cold_tdc_pinch_demo,1.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,False,11.898555709547681,10.714903522688495,constant_h,721.6595514621062,18.58921398729009,-2.0,-1.0,False,,contact_invalid_annulus,,True,True,-8.93068955082451,0.0,0.0,60.0,crown
8.5,cold_tdc_pinch_demo,1.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,False,10.898555709547681,9.714903522688495,constant_h,721.6595514621062,18.58921398729009,-2.0,0.0,False,,contact_invalid_annulus,,True,True,-7.9277411013112715,0.0,0.0,60.0,crown
8.5,cold_tdc_pinch_demo,1.0,651.1728125000001,621.1728125000001,"[[293.15, 621.1728125000001]]",621.1728125000001,maximum_safe,False,9.898555709547681,8.714903522688495,constant_h,721.6595514621062,18.58921398729009,-2.0,1.0,False,,contact_invalid_annulus,,True,True,-6.924792651798128,0.0,0.0,60.0,crown
8.5,neutral,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,13.757288313320752,16.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,0.0,-1.0,True,,contact_invalid_annulus,,True,True,-1.7743972603456726,0.0,0.0,53.0,crown
8.5,neutral,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,12.757288313320752,15.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,0.0,0.0,True,,contact_invalid_annulus,,True,True,-0.769843724498287,0.0,0.0,53.0,crown
8.5,neutral,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,11.757288313320752,14.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,0.0,1.0,True,0.33154149687180606,annulus_positive_clearance,0.0029927905680669957,True,False,0.2347098113499868,0.0,0.0,53.0,crown
8.5,liner_open_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,15.453033124880289,14.700855790306806,angle_correlation,509.79900235988794,6.500233059104473,2.0,-1.0,False,,contact_invalid_annulus,,True,True,-3.477009387240493,0.0,0.0,-115.0,skirt_end
8.5,liner_open_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,14.453033124880289,13.700855790306806,angle_correlation,509.79900235988794,6.500233059104473,2.0,0.0,False,,contact_invalid_annulus,,True,True,-2.4726125200640325,0.0,0.0,-115.0,skirt_end
8.5,liner_open_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,13.453033124880289,12.700855790306806,angle_correlation,509.79900235988794,6.500233059104473,2.0,1.0,False,,contact_invalid_annulus,,True,True,-1.468215652886684,0.0,0.0,-115.0,skirt_end
8.5,liner_pinch_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,15.757288313320752,14.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,-2.0,-1.0,False,,contact_invalid_annulus,,True,True,-3.783504332041332,0.0,0.0,53.0,crown
8.5,liner_pinch_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,14.757288313320752,13.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,-2.0,0.0,False,,contact_invalid_annulus,,True,True,-2.7789507961939464,0.0,0.0,53.0,crown
8.5,liner_pinch_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,13.757288313320752,12.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,-2.0,1.0,False,,contact_invalid_annulus,,True,True,-1.7743972603456726,0.0,0.0,53.0,crown
8.5,piston_barrel_outward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,15.59070885479982,16.39838578909464,angle_correlation,914.9993707542533,37.99333058166278,0.0,-1.0,True,,contact_invalid_annulus,,True,True,-3.615720390850008,2.0,0.0,38.0,ringland_or_mid_skirt
8.5,piston_barrel_outward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,14.59070885479982,15.39838578909464,angle_correlation,914.9993707542533,37.99333058166278,0.0,0.0,True,,contact_invalid_annulus,,True,True,-2.6112466225489683,2.0,0.0,38.0,ringland_or_mid_skirt
