cycle,cycle_energy_balance_residual_J,cycle_max_delta_K,external_energy_J,gas_energy_J,h_model,liner_material,liner_tdc_end_K,max_temperature_K,min_path_hot_clearance_3um,min_temperature_K,piston_material,piston_skirt_end_K,skirt_liner_tdc_hot_clearance_3um
22,1.8839163497282234,0.506383351488978,-0.12079303043095407,2.0047093801591775,constant_h,steel_4140,317.0007251882113,317.0007251882113,2.4367831784530836,305.7730859324746,al_4032_t6,310.612554247778,2.787752265732024
23,1.8744261917534897,0.5025832305631184,-0.12700345184492737,2.001429643598417,constant_h,steel_4140,317.4352541966264,317.4352541966264,2.41772009569452,306.1952767666478,al_4032_t6,311.1064921956018,2.7694014833796743
24,1.865001652551339,0.49909632144044735,-0.13317676523506708,1.9981784177864061,constant_h,steel_4140,317.86398085389425,317.86398085389425,2.3986459197482546,306.62198024677156,al_4032_t6,311.59843678777025,2.75091655128179
25,1.855641403322544,0.49588074109738045,-0.1393124498776916,1.9949538532002355,constant_h,steel_4140,318.2874170986367,318.2874170986367,2.379564621789676,307.0525655323771,al_4032_t6,312.0884586330546,2.7323179782952067
26,1.8463441895922625,0.4929012461698221,-0.14541018931744992,1.9917543789097125,constant_h,steel_4140,318.70599273208245,318.70599273208245,2.3604788528457377,307.4864659274713,al_4032_t6,312.57662432673135,2.713622380044356
27,1.8371088303746506,0.49012793643998975,-0.15146982226733882,1.9885786526419893,constant_h,steel_4140,319.12006994817375,319.12006994817375,2.34139025076896,307.92317275778964,al_4032_t6,313.06299580026933,2.694843279708259
28,1.827934215672387,0.4875352559643602,-0.15749130520692922,1.9854255208793163,constant_h,steel_4140,319.5299551275199,319.5299551275199,2.3222996888154768,308.3622297322161,al_4032_t6,313.5476300330444,2.675991738276373
29,1.818819302936995,0.4851012170800004,-0.16347468385607578,1.982293986793071,constant_h,steel_4140,319.9359084425837,319.9359084425837,2.3032074755846565,308.8032277787,al_4032_t6,314.0305790089077,2.6570768520741694
30,1.809763112935935,0.48280679208204447,-0.16942007139147972,1.9791831843274148,constant_h,steel_4140,320.3381517056569,320.3381517056569,2.2841135147366742,309.2458003353099,al_4032_t6,314.5118898340329,2.6381061466365097
31,1.8007647253398995,0.4806354317245791,-0.1753276317932159,1.9760923571331155,constant_h,steel_4140,320.73687480106327,320.73687480106327,2.2650174315543836,309.6896190711941,al_4032_t6,314.99160495679655,2.6190858893651026
