assumption_label,converged,cooling_scale,cycles_completed,feasible,h_model,h_scale,initial_temperature_K,liner_material,liner_tdc_max_K,liner_tdc_min_K,lower_bound_is_negative_interference_target,nonnegative_cold_fit_feasible,periodic_converged,periodic_min_path_hot_clearance_3um,piston_material,piston_skirt_max_K,piston_skirt_min_K,required_cold_lower_um,required_cold_upper_um,temperature_offset_K,warmup_converged,warmup_min_path_hot_clearance_3um
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,constant_h,1.25,300.0,steel_4140,417.9311288440126,417.0305208242687,False,True,True,-5.919595706765257,al_4032_t6,470.4595529639583,470.389425108022,10.890478673345042,13.3883007458003,20.0,False,-0.05089123264223616
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,constant_h,1.25,300.0,steel_4140,380.9228342854244,380.0338118518911,False,True,True,-4.779082599573492,al_4032_t6,432.76384212676464,432.6944779870659,9.759458301232335,12.265240950839628,-20.0,False,0.09061913012242684
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,constant_h,1.25,300.0,steel_4140,387.15101830193146,386.20807306469555,False,True,True,-5.268150228903146,al_4032_t6,442.1564321119007,442.08351930833305,10.245651629124765,12.722796744402242,0.0,False,-0.0691768789913283
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,constant_h,1.25,300.0,steel_4140,393.3792023190772,392.38082771401884,False,True,True,-5.757217858180397,al_4032_t6,451.5490220969506,451.47247137064744,10.731649296499333,13.180173981387526,20.0,False,-0.22897288810508343
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,angle_correlation,0.75,300.0,steel_4140,470.90917406833563,470.2527665598362,False,True,True,-7.044001910741393,al_4032_t6,519.3178291765748,519.264531704215,12.001682277831046,14.544529146191746,-20.0,False,-0.1643220838651871
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,angle_correlation,0.75,300.0,steel_4140,479.39654425881673,478.72057887187356,False,True,True,-7.487901759048121,al_4032_t6,529.8461465671927,529.7916462446161,12.441406593561698,14.966799143481355,0.0,False,-0.28183327844377715
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,angle_correlation,0.75,300.0,steel_4140,487.7498889438531,487.05339030481815,False,True,True,-7.926215957611227,al_4032_t6,540.2225029053388,540.1666939125356,12.875409923078843,15.383476236185473,20.0,False,-0.3966899174470129
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,angle_correlation,0.75,300.0,steel_4140,415.7590989270422,414.9522279677512,False,True,True,-6.59939215093619,al_4032_t6,476.046391617479,475.9832515658924,11.566640292328199,14.008510029911854,-20.0,False,-0.36615883894697276
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,angle_correlation,0.75,300.0,steel_4140,421.23740921552644,420.39993640285024,False,True,True,-7.0048400278039935,al_4032_t6,484.0669840007164,484.0016849612297,11.969006998250999,14.389123769189734,0.0,False,-0.4898428682809097
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,angle_correlation,0.75,300.0,steel_4140,426.60795260066436,425.73948897967244,False,True,True,-7.404040533055323,al_4032_t6,491.9474481386015,491.87988145457354,12.365042215431123,14.763677408002334,20.0,False,-0.6131857322788647
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,angle_correlation,0.75,300.0,steel_4140,389.300174345747,388.41397274938066,False,True,True,-6.386056884362112,al_4032_t6,455.28394631459884,455.21534368940627,11.357625907386106,13.750790190274197,-20.0,False,-0.5344593930756147
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,angle_correlation,0.75,300.0,steel_4140,393.4357888832036,392.51457823407725,False,True,True,-6.773897409247276,al_4032_t6,462.18121517106164,462.11001596793835,11.742852952271287,14.112402380749606,0.0,False,-0.6602244001099322
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,angle_correlation,0.75,300.0,steel_4140,397.4822491879489,396.5259872924074,False,True,True,-7.1552722722891815,al_4032_t6,468.94925708635844,468.8753934246771,12.121548939316714,14.467830285662625,20.0,False,-0.7905120202202909
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,angle_correlation,1.0,300.0,steel_4140,494.50008820202015,493.6993154992814,False,True,True,-8.18920342090923,al_4032_t6,547.482075663139,547.4180731865628,13.135474012632521,15.621241682790316,-20.0,False,-1.088571192106258
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,angle_correlation,1.0,300.0,steel_4140,504.42771826401184,503.6075806874023,False,True,True,-8.695026310750364,al_4032_t6,559.6585515146456,559.5936051262652,13.635899441602774,16.10243579132419,0.0,False,-1.2133563660752245
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,angle_correlation,1.0,300.0,steel_4140,514.2159769150237,513.3752070558793,False,True,True,-9.195622986191587,al_4032_t6,571.6829489193825,571.6169554669734,14.130907409849238,16.578291989652282,20.0,False,-1.3355179879912527
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,angle_correlation,1.0,300.0,steel_4140,437.58367239747736,436.590592277414,False,True,True,-7.998553023445432,al_4032_t6,505.5635977190146,505.4886807510068,12.954179977046712,15.310031262174503,-20.0,False,-1.3802032008554121
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,angle_correlation,1.0,300.0,steel_4140,444.2732458271491,443.245064184907,False,True,True,-8.477031136171043,al_4032_t6,515.1846680000914,515.1077390312877,13.428394354243238,15.759051325921046,0.0,False,-1.5361162193388012
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,angle_correlation,1.0,300.0,steel_4140,450.8421023466555,449.77786025257865,False,True,True,-8.949221268413687,al_4032_t6,524.6559642147931,524.5768629699336,13.896191107358447,16.20188885984904,20.0,False,-1.6717093256994886
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,angle_correlation,1.0,300.0,steel_4140,408.4830533698023,407.3780548056236,False,True,True,-7.901051604030762,al_4032_t6,484.12649934335025,484.0449916042167,12.861345825399974,15.150304481010837,-20.0,False,-1.5872059148538398
